metric,All_n,All_min,All_q1,All_median,All_q3,All_max,All_mean,All_std,All_best_id,All_best_score,All_worst_id,All_worst_score,form_n,form_min,form_q1,form_median,form_q3,form_max,form_mean,form_std,form_best_id,form_best_score,form_worst_id,form_worst_score,ask_n,ask_min,ask_q1,ask_median,ask_q3,ask_max,ask_mean,ask_std,ask_best_id,ask_best_score,ask_worst_id,ask_worst_score,chat_n,chat_min,chat_q1,chat_median,chat_q3,chat_max,chat_mean,chat_std,chat_best_id,chat_best_score,chat_worst_id,chat_worst_score
BERTScore_Precision,113,0.8609,0.8801,0.8908,0.8998,0.9219,0.8902,0.0144,IOL1223,0.9219,thg1620,0.8609,37,0.8622,0.8802,0.889,0.899,0.9124,0.8886,0.0138,AHR0531,0.9124,UAB0821,0.8622,37,0.8609,0.8723,0.8885,0.8994,0.9179,0.8861,0.0161,IOL1223,0.9179,thg1620,0.8609,39,0.867,0.89,0.8958,0.9019,0.9219,0.8954,0.0117,IOL1223,0.9219,PVV2109,0.867
BERTScore_Recall,113,0.8614,0.9139,0.9181,0.9222,0.9355,0.9146,0.014,EII0925,0.9355,DAB1519,0.8614,37,0.9139,0.9189,0.9225,0.9255,0.9355,0.9225,0.0051,EII0925,0.9355,KIR2546,0.9139,37,0.8614,0.9075,0.9145,0.9181,0.9253,0.9082,0.0171,AMR2620,0.9253,DAB1519,0.8614,39,0.8737,0.9076,0.9167,0.9218,0.9329,0.913,0.0132,EHN0215,0.9329,EHJ2314,0.8737
BERTScore_F1,113,0.8629,0.8946,0.9038,0.9095,0.9219,0.9021,0.0114,EHN0215,0.9219,thg1620,0.8629,37,0.8874,0.8995,0.9055,0.912,0.9201,0.9052,0.009,AMR2620,0.9201,UAB0821,0.8874,37,0.8629,0.8922,0.8955,0.9055,0.918,0.8969,0.0131,IOL1223,0.918,thg1620,0.8629,39,0.8719,0.8992,0.9064,0.9105,0.9219,0.9041,0.0101,EHN0215,0.9219,PVV2109,0.8719
SBERT_ModernBERT,113,0.9705,0.985,0.9883,0.9903,0.9936,0.9874,0.004,NAN277,0.9936,thg1620,0.9705,37,0.9742,0.984,0.988,0.9893,0.9921,0.9864,0.0039,NUG0102,0.9921,UAB0821,0.9742,37,0.9705,0.9832,0.9871,0.9898,0.9926,0.9862,0.0047,IOL1223,0.9926,thg1620,0.9705,39,0.985,0.988,0.9901,0.9912,0.9936,0.9895,0.0022,NAN277,0.9936,EHJ2314,0.985
