metric,All_doc,All_chapter_mean,All_diff,form_doc,form_chapter_mean,form_diff,ask_doc,ask_chapter_mean,ask_diff,chat_doc,chat_chapter_mean,chat_diff
BLEU,0.133,0.10071666666666666,0.032283333333333344,0.1286,0.11228333333333333,0.01631666666666666,0.1269,0.09128333333333334,0.03561666666666667,0.143,0.09864999999999997,0.044350000000000014
ROUGE-1,0.4883,0.41330000000000006,0.07499999999999996,0.4876,0.44380000000000003,0.04379999999999995,0.4654,0.37996666666666673,0.08543333333333325,0.5106,0.41601666666666665,0.09458333333333341
ROUGE-2,0.2848,0.2516,0.03320000000000001,0.306,0.2896166666666667,0.016383333333333305,0.2568,0.2181166666666667,0.038683333333333264,0.2913,0.24726666666666666,0.04403333333333334
ROUGE-L,0.3751,0.36158333333333337,0.013516666666666621,0.388,0.39605,-0.008050000000000002,0.3474,0.32403333333333334,0.023366666666666647,0.3892,0.3645666666666667,0.024633333333333285
METEOR,0.3892,0.35800000000000004,0.03119999999999995,0.4124,0.39809999999999995,0.014300000000000035,0.365,0.32761666666666667,0.037383333333333324,0.3902,0.34885000000000005,0.04134999999999994
BERTScore_Precision,0.8902,0.8580666666666668,0.032133333333333236,0.8886,0.8555333333333333,0.03306666666666669,0.8861,0.8545666666666666,0.03153333333333341,0.8954,0.8638,0.03159999999999996
BERTScore_Recall,0.9146,0.8864500000000001,0.028149999999999897,0.9225,0.8970500000000001,0.02544999999999986,0.9082,0.8794333333333334,0.028766666666666607,0.913,0.8830166666666667,0.029983333333333362
BERTScore_F1,0.9021,0.8716166666666666,0.030483333333333418,0.9052,0.8755499999999999,0.029650000000000065,0.8969,0.8663333333333333,0.030566666666666742,0.9041,0.8729166666666667,0.03118333333333334
SBERT_ModernBERT,0.9874,0.9698166666666667,0.017583333333333395,0.9864,0.9700833333333333,0.016316666666666757,0.9862,0.9684833333333333,0.017716666666666714,0.9895,0.9708999999999999,0.018600000000000172
