id,user_id,ai_mode,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,SBERT_ModernBERT
5,EHN0215,ask,0.09383870330253802,0.42,0.253671562082777,0.3293333333333333,0.40857453314066805,0.8749358654022217,0.9211254715919495,0.8974367356296444,0.980798065662384
7,RIT1851,ask,0.0851258744192868,0.44972288202692,0.23632038065027758,0.3182897862232779,0.3783378787406668,0.8899744153022766,0.9181395769119263,0.9038376304222183,0.9870797395706177
9,IAR1116,ask,0.11240152236760981,0.4497313891020721,0.2521137586471945,0.33154259401381425,0.3991644470786367,0.8785223960876465,0.918389081954956,0.8980134933510321,0.9849481582641602
13,TIL1618,ask,0.07414793887277923,0.42007722007722004,0.2026295436968291,0.28725868725868725,0.34996271542606366,0.8739888668060303,0.9180560111999512,0.8954806241079319,0.9858390688896179
16,NOC2416,ask,0.22077168393681407,0.5993031358885017,0.36554132712456344,0.4878048780487804,0.4727226293669735,0.9113532304763794,0.9191977381706238,0.9152586761870392,0.9916055798530579
19,NUG0102,ask,0.09170239849314664,0.4256227758007117,0.23806129722024233,0.3074733096085409,0.3640864547163436,0.8722884058952332,0.9171798825263977,0.8941710594422376,0.9823030233383179
23,IHL0436,ask,0.08170412708401441,0.41238793806030966,0.2057142857142857,0.2982885085574572,0.34762075833348727,0.8821129202842712,0.9090712070465088,0.8953891952907584,0.9893269538879395
27,AAL1220,ask,0.0827840904048831,0.42761692650334077,0.19330855018587362,0.27616926503340755,0.36193769755220745,0.8756006360054016,0.9144830107688904,0.8946195417049541,0.9852107167243958
29,IOL1223,ask,0.24633104827788432,0.6157461809635723,0.4287396937573616,0.54524089306698,0.48803686375062627,0.9178587794303894,0.9181302785873413,0.9179945089347282,0.9925678968429565
30,IOL1223,ask,0.24633104827788432,0.6133960047003525,0.4287396937573616,0.5428907168037602,0.48803686375062627,0.9170765280723572,0.9176324605941772,0.9173544101071118,0.9924872517585754
32,thg1620,ask,0.13410400667864547,0.3817663817663817,0.20285714285714285,0.29629629629629634,0.2435951275506659,0.8609238862991333,0.8649199604988098,0.8629172970797832,0.9705462455749512
33,thg1620,ask,0.12038428602380047,0.5473441108545034,0.2916666666666667,0.38799076212471134,0.382063744117775,0.8816571235656738,0.9054967164993286,0.8934179168794146,0.9806009531021118
38,NAN277,ask,0.12757842390694663,0.5015228426395939,0.2624618514750763,0.3472081218274112,0.3781100796297108,0.8885190486907959,0.9116537570953369,0.8999377464054107,0.9904519319534302
39,EII0925,ask,0.19912167607009676,0.6024636058230683,0.3928170594837262,0.4904815229563269,0.467990127328904,0.9080254435539246,0.9178447127342224,0.9129086748297679,0.989810585975647
43,AHR0531,ask,0.2282622641585317,0.6175771971496438,0.3833333333333333,0.4964370546318289,0.4633247867008941,0.903601884841919,0.9155037999153137,0.9095139068776168,0.9889383316040039
49,MIN0453,ask,0.08106272900870197,0.41610738255033564,0.22255414488424197,0.30275913497390006,0.3582445859169504,0.8723381757736206,0.9157453179359436,0.8935148754873855,0.9833014011383057
50,ENB1054,ask,0.05801799666664891,0.34140578854105136,0.1679479597871082,0.23036030714707617,0.32536616743708985,0.8663403987884521,0.9133542776107788,0.8892263595477063,0.9816499352455139
51,NOL0906,ask,0.12854567691917312,0.5219164118246687,0.2655771195097038,0.3547400611620795,0.37865700115250106,0.8888297080993652,0.912553608417511,0.9005354384685842,0.9897515773773193
57,OAZ2611,ask,0.1458900776560585,0.3919129082426127,0.19968798751950076,0.2986003110419907,0.23356005612151526,0.8780666589736938,0.8627868294715881,0.8703596871178464,0.9789174795150757
59,PVV2109,ask,0.04691564465570493,0.3225308641975309,0.12055641421947448,0.19444444444444445,0.27217055940179785,0.8611937761306763,0.8933956027030945,0.8769991907528933,0.9839609861373901
62,NIL1922,ask,0.20697385606177401,0.5867861142217244,0.3905723905723905,0.48376259798432253,0.4217904910550588,0.9010681509971619,0.9169580936431885,0.9089436815521889,0.9877262115478516
65,aea2442,ask,0.1480818675235719,0.5137085137085137,0.27496382054992763,0.4098124098124098,0.2968818399304045,0.8967702388763428,0.8999229073524475,0.8983438071110459,0.9859472513198853
71,IHB1316,ask,0.223399205263627,0.5852534562211982,0.39260969976905313,0.4953917050691244,0.42040586030967486,0.911454975605011,0.9140093922615051,0.9127303967046028,0.9891645908355713
75,DAB1519,ask,0.11190093670409716,0.3708206686930091,0.19817073170731708,0.2978723404255319,0.23419801758508982,0.8765543699264526,0.861386775970459,0.8689043866144257,0.9794992804527283
76,SAP2842,ask,0.06493643516899765,0.3684913217623498,0.17379679144385027,0.24032042723631505,0.3270385895648734,0.8663958311080933,0.911706805229187,0.8884739936841459,0.9814460873603821
79,ANN1112,ask,0.12757108488210162,0.5244956772334294,0.2637151106833494,0.3592699327569645,0.39120922893374865,0.8907648921012878,0.9207311868667603,0.9055001839042088,0.9881225228309631
